inflected_form,base_form
আসছিলামই,আস
আসছিলামও,আস
আসছিলি,আস
আসছিলিই,আস
আসছিলিও,আস
আসছিলে,আস
আসছিলেই,আস
আসছিলেও,আস
আসছিলেন,আস
আসছিলেনই,আস
আসছিলেনও,আস
আসছিস,আস
আসছিসই,আস
আসছিসও,আস
আসছে,আস
আসছেই,আস
আসছেও,আস
আসছেন,আস
আসছেনই,আস
আসছেনও,আস
আসত,আস
আসতই,আস
আসতও,আস
আসতাম,আস
আসতামই,আস
আসতামও,আস
আসতি,আস
আসতিই,আস
আসতিও,আস
আসতে,আস
আসতে থাকব,আস
আসতে থাকবই,আস
আসতে থাকবও,আস
আসতে থাকবি,আস
আসতে থাকবিই,আস
আসতে থাকবিও,আস
আসতে থাকবে,আস
আসতে থাকবেই,আস
আসতে থাকবেও,আস
আসতে থাকবেন,আস
আসতে থাকবেনই,আস
আসতে থাকবেনও,আস
আসতেই,আস
আসতেও,আস
আসতেন,আস
আসতেনই,আস
আসতেনও,আস
আসব,আস
আসবই,আস
আসবও,আস
আসবি,আস
আসবিই,আস
আসবিও,আস
আসবে,আস
আসবেই,আস
আসবেও,আস
আসবেন,আস
আসবেনই,আস
আসবেনও,আস
আসল,আস
আসলই,আস
আসলও,আস
আসলাম,আস
আসলামই,আস
আসলামও,আস
আসলি,আস
আসলিই,আস
আসলিও,আস
আসলে,আস
আসলেই,আস
আসলেও,আস
আসলেন,আস
আসলেনই,আস
আসলেনও,আস
আসা,আস
আসাই,আস
আসাও,আস
আসার,আস
আসারই,আস
আসারও,আস
আসি,আস
আসিই,আস
আসিও,আস
আসিস,আস
আসিসই,আস
আসিসও,আস
আসুক,আস
আসুকই,আস
আসুকও,আস
আসুন,আস
আসুনই,আস
আসুনও,আস
আসে,আস
আসেই,আস
আসেও,আস
আসেন,আস
আসেনই,আস
আসেনও,আস
উঠ,উঠ
উঠই,উঠ
উঠও,উঠ
উঠছ,উঠ
উঠছই,উঠ
উঠছও,উঠ
উঠছি,উঠ
উঠছিই,উঠ
উঠছিও,উঠ
উঠছিল,উঠ
উঠছিলই,উঠ
উঠছিলও,উঠ
উঠছিলাম,উঠ
উঠছিলামই,উঠ
উঠছিলামও,উঠ
উঠছিলি,উঠ
উঠছিলিই,উঠ
উঠছিলিও,উঠ
উঠছিলে,উঠ
উঠছিলেই,উঠ
উঠছিলেও,উঠ
উঠছিলেন,উঠ
উঠছিলেনই,উঠ
উঠছিলেনও,উঠ
উঠছিস,উঠ
উঠছিসই,উঠ
উঠছিসও,উঠ
উঠছে,উঠ
উঠছেই,উঠ
উঠছেও,উঠ
উঠছেন,উঠ
উঠছেনই,উঠ
উঠছেনও,উঠ
উঠত,উঠ
উঠতই,উঠ
উঠতও,উঠ
উঠতাম,উঠ
উঠতামই,উঠ
উঠতামও,উঠ
উঠতি,উঠ
উঠতিই,উঠ
উঠতিও,উঠ
উঠতে,উঠ
উঠতে থাকব,উঠ
উঠতে থাকবই,উঠ
উঠতে থাকবও,উঠ
উঠতে থাকবি,উঠ
উঠতে থাকবিই,উঠ
উঠতে থাকবিও,উঠ
উঠতে থাকবে,উঠ
উঠতে থাকবেই,উঠ
উঠতে থাকবেও,উঠ
উঠতে থাকবেন,উঠ
উঠতে থাকবেনই,উঠ
উঠতে থাকবেনও,উঠ
উঠতেই,উঠ
উঠতেও,উঠ
উঠতেন,উঠ
উঠতেনই,উঠ
উঠতেনও,উঠ
উঠব,উঠ
উঠবই,উঠ
উঠবও,উঠ
উঠবি,উঠ
উঠবিই,উঠ
উঠবিও,উঠ
উঠবে,উঠ
উঠবেই,উঠ
উঠবেও,উঠ
উঠবেন,উঠ
উঠবেনই,উঠ
উঠবেনও,উঠ
উঠল,উঠ
উঠলই,উঠ
উঠলও,উঠ
উঠলাম,উঠ
উঠলামই,উঠ
উঠলামও,উঠ
উঠলি,উঠ
উঠলিই,উঠ
উঠলিও,উঠ
উঠলে,উঠ
উঠলেই,উঠ
উঠলেও,উঠ
উঠলেন,উঠ
উঠলেনই,উঠ
উঠলেনও,উঠ
উঠা,উঠ
উঠাই,উঠ
উঠাও,উঠ
উঠার,উঠ
উঠারই,উঠ
উঠারও,উঠ
উঠি,উঠ
উঠিই,উঠ
উঠিও,উঠ
উঠিস,উঠ
উঠিসই,উঠ
উঠিসও,উঠ
উঠুক,উঠ
উঠুকই,উঠ
উঠুকও,উঠ
উঠুন,উঠ
উঠুনই,উঠ
উঠুনও,উঠ
উঠে,উঠ
উঠেই,উঠ
উঠেও,উঠ
উঠেছ,উঠ
উঠেছই,উঠ
উঠেছও,উঠ
উঠেছি,উঠ
উঠেছিই,উঠ
উঠেছিও,উঠ
উঠেছিল,উঠ
উঠেছিলই,উঠ
উঠেছিলও,উঠ
উঠেছিলাম,উঠ
উঠেছিলামই,উঠ
উঠেছিলামও,উঠ
উঠেছিলি,উঠ
উঠেছিলিই,উঠ
উঠেছিলিও,উঠ
উঠেছিলে,উঠ
উঠেছিলেই,উঠ
উঠেছিলেও,উঠ
উঠেছিলেন,উঠ
উঠেছিলেনই,উঠ
উঠেছিলেনও,উঠ
উঠেছিস,উঠ
উঠেছিসই,উঠ
উঠেছিসও,উঠ
উঠেছে,উঠ
উঠেছেই,উঠ
উঠেছেও,উঠ
উঠেছেন,উঠ
উঠেছেনই,উঠ
উঠেছেনও,উঠ
উঠেন,উঠ
উঠেনই,উঠ
উঠেনও,উঠ
উঠো,উঠ
উঠোই,উঠ
উঠোও,উঠ
উলটিয়ে,উলটিয়ে
উলটিয়েই,উলটিয়ে
উলটিয়েও,উলটিয়ে
উলটিয়েছ,উলটিয়ে
উলটিয়েছই,উলটিয়ে
উলটিয়েছও,উলটিয়ে
উলটিয়েছি,উলটিয়ে
উলটিয়েছিই,উলটিয়ে
উলটিয়েছিও,উলটিয়ে
উলটিয়েছিল,উলটিয়ে
উলটিয়েছিলই,উলটিয়ে
উলটিয়েছিলও,উলটিয়ে
উলটিয়েছিলাম,উলটিয়ে
উলটিয়েছিলামই,উলটিয়ে
উলটিয়েছিলামও,উলটিয়ে
উলটিয়েছিলি,উলটিয়ে
উলটিয়েছিলিই,উলটিয়ে
উলটিয়েছিলিও,উলটিয়ে
উলটিয়েছিলে,উলটিয়ে
উলটিয়েছিলেই,উলটিয়ে
উলটিয়েছিলেও,উলটিয়ে
উলটিয়েছিলেন,উলটিয়ে
উলটিয়েছিলেনই,উলটিয়ে
উলটিয়েছিলেনও,উলটিয়ে
উলটিয়েছিস,উলটিয়ে
উলটিয়েছিসই,উলটিয়ে
উলটিয়েছিসও,উলটিয়ে
উলটিয়েছে,উলটিয়ে
উলটিয়েছেই,উলটিয়ে
উলটিয়েছেও,উলটিয়ে
উলটিয়েছেন,উলটিয়ে
উলটিয়েছেনই,উলটিয়ে
উলটিয়েছেনও,উলটিয়ে
উড়,উড়
উড়ই,উড়
উড়ও,উড়
উড়ছ,উড়
উড়ছই,উড়
উড়ছও,উড়
উড়ছি,উড়
উড়ছিই,উড়
উড়ছিও,উড়
উড়ছিল,উড়
উড়ছিলই,উড়
উড়ছিলও,উড়
উড়ছিলাম,উড়
উড়ছিলামই,উড়
উড়ছিলামও,উড়
উড়ছিলি,উড়
উড়ছিলিই,উড়
উড়ছিলিও,উড়
উড়ছিলে,উড়
উড়ছিলেই,উড়
উড়ছিলেও,উড়
উড়ছিলেন,উড়
উড়ছিলেনই,উড়
উড়ছিলেনও,উড়
উড়ছিস,উড়
উড়ছিসই,উড়
উড়ছিসও,উড়
উড়ছে,উড়
উড়ছেই,উড়
উড়ছেও,উড়
উড়ছেন,উড়
উড়ছেনই,উড়
উড়ছেনও,উড়
উড়ত,উড়
উড়তই,উড়
উড়তও,উড়
উড়তাম,উড়
উড়তামই,উড়
উড়তামও,উড়
উড়তি,উড়
উড়তিই,উড়
উড়তিও,উড়
উড়তে,উড়
উড়তে থাকব,উড়
উড়তে থাকবই,উড়
উড়তে থাকবও,উড়
উড়তে থাকবি,উড়
উড়তে থাকবিই,উড়
উড়তে থাকবিও,উড়
উড়তে থাকবে,উড়
উড়তে থাকবেই,উড়
উড়তে থাকবেও,উড়
উড়তে থাকবেন,উড়
উড়তে থাকবেনই,উড়
উড়তে থাকবেনও,উড়
উড়তেই,উড়
উড়তেও,উড়
উড়তেন,উড়
উড়তেনই,উড়
উড়তেনও,উড়
উড়ব,উড়
উড়বই,উড়
উড়বও,উড়
উড়বি,উড়
উড়বিই,উড়
উড়বিও,উড়
উড়বে,উড়
উড়বেই,উড়
উড়বেও,উড়
উড়বেন,উড়
উড়বেনই,উড়
উড়বেনও,উড়
উড়ল,উড়
উড়লই,উড়
উড়লও,উড়
উড়লাম,উড়
উড়লামই,উড়
উড়লামও,উড়
উড়লি,উড়
উড়লিই,উড়
উড়লিও,উড়
উড়লে,উড়
উড়লেই,উড়
উড়লেও,উড়
উড়লেন,উড়
উড়লেনই,উড়
উড়লেনও,উড়
উড়ি,উড়
উড়িই,উড়
উড়িও,উড়
উড়িস,উড়
উড়িসই,উড়
উড়িসও,উড়
উড়ুক,উড়
উড়ুকই,উড়
উড়ুকও,উড়
উড়ুন,উড়
উড়ুনই,উড়
উড়ুনও,উড়
উড়ে,উড়
উড়েই,উড়
উড়েও,উড়
উড়েছ,উড়
উড়েছই,উড়
উড়েছও,উড়
উড়েছি,উড়
উড়েছিই,উড়
উড়েছিও,উড়
উড়েছিল,উড়
উড়েছিলই,উড়
উড়েছিলও,উড়
উড়েছিলাম,উড়
উড়েছিলামই,উড়
উড়েছিলামও,উড়
উড়েছিলি,উড়
উড়েছিলিই,উড়
উড়েছিলিও,উড়
উড়েছিলে,উড়
উড়েছিলেই,উড়
উড়েছিলেও,উড়
উড়েছিলেন,উড়
উড়েছিলেনই,উড়
উড়েছিলেনও,উড়
উড়েছিস,উড়
উড়েছিসই,উড়
উড়েছিসও,উড়
উড়েছে,উড়
উড়েছেই,উড়
উড়েছেও,উড়
উড়েছেন,উড়
উড়েছেনই,উড়
উড়েছেনও,উড়
এঁকে,এঁকে
এঁকেই,এঁকে
এঁকেও,এঁকে
এঁকেছ,এঁকে
এঁকেছই,এঁকে
এঁকেছও,এঁকে
এঁকেছি,এঁকে
এঁকেছিই,এঁকে
এঁকেছিও,এঁকে
এঁকেছিল,এঁকে
এঁকেছিলই,এঁকে
এঁকেছিলও,এঁকে
এঁকেছিলাম,এঁকে
এঁকেছিলামই,এঁকে
এঁকেছিলামও,এঁকে
এঁকেছিলি,এঁকে
এঁকেছিলিই,এঁকে
এঁকেছিলিও,এঁকে
এঁকেছিলে,এঁকে
এঁকেছিলেই,এঁকে
এঁকেছিলেও,এঁকে
এঁকেছিলেন,এঁকে
এঁকেছিলেনই,এঁকে
এঁকেছিলেনও,এঁকে
এঁকেছিস,এঁকে
এঁকেছিসই,এঁকে
এঁকেছিসও,এঁকে
এঁকেছে,এঁকে
এঁকেছেই,এঁকে
এঁকেছেও,এঁকে
এঁকেছেন,এঁকে
এঁকেছেনই,এঁকে
এঁকেছেনও,এঁকে
এঁকো,এঁকে
এঁকোই,এঁকে
এঁকোও,এঁকে
এনে,এনে
এনেই,এনে
এনেও,এনে
এনেছ,এনে
এনেছই,এনে
এনেছও,এনে
এনেছি,এনে
এনেছিই,এনে
এনেছিও,এনে
এনেছিল,এনে
এনেছিলই,এনে
এনেছিলও,এনে
এনেছিলাম,এনে
এনেছিলামই,এনে
এনেছিলামও,এনে
এনেছিলি,এনে
এনেছিলিই,এনে
এনেছিলিও,এনে
এনেছিলে,এনে
এনেছিলেই,এনে
এনেছিলেও,এনে
এনেছিলেন,এনে
এনেছিলেনই,এনে
এনেছিলেনও,এনে
এনেছিস,এনে
এনেছিসই,এনে
এনেছিসও,এনে
এনেছে,এনে
এনেছেই,এনে
এনেছেও,এনে
এনেছেন,এনে
এনেছেনই,এনে
এনেছেনও,এনে
এনো,এনে
এনোই,এনে
এনোও,এনে
এসে,এসে
এসেই,এসে
এসেও,এসে
এসেছ,এসে
এসেছই,এসে
এসেছও,এসে
এসেছি,এসে
এসেছিই,এসে
এসেছিও,এসে
এসেছিল,এসে
এসেছিলই,এসে
এসেছিলও,এসে
এসেছিলাম,এসে
এসেছিলামই,এসে
এসেছিলামও,এসে
এসেছিলি,এসে
এসেছিলিই,এসে
এসেছিলিও,এসে
এসেছিলে,এসে
এসেছিলেই,এসে
এসেছিলেও,এসে
এসেছিলেন,এসে
এসেছিলেনই,এসে
এসেছিলেনও,এসে
এসেছিস,এসে
এসেছিসই,এসে
এসেছিসও,এসে
এসেছে,এসে
এসেছেই,এসে
এসেছেও,এসে
এসেছেন,এসে
এসেছেনই,এসে
এসেছেনও,এসে
এসো,এসে
এসোই,এসে
এসোও,এসে
ওঠ,ওঠ
ওঠই,ওঠ
ওঠও,ওঠ
ওঠা,ওঠ
ওঠাই,ওঠ
ওঠাও,ওঠ
ওঠার,ওঠ
ওঠারই,ওঠ
ওঠারও,ওঠ
ওঠে,ওঠ
ওঠেই,ওঠ
ওঠেও,ওঠ
ওঠেন,ওঠ
ওঠেনই,ওঠ
ওঠেনও,ওঠ
ওঠো,ওঠ
ওঠোই,ওঠ
ওঠোও,ওঠ
ওলটা,ওলটা
ওলটাই,ওলটা
ওলটাইই,ওলটা
ওলটাইও,ওলটা
ওলটাও,ওলটা
ওলটাওই,ওলটা
ওলটাওও,ওলটা
ওলটাক,ওলটা
ওলটাকই,ওলটা
ওলটাকও,ওলটা
ওলটাচ্ছ,ওলটা
ওলটাচ্ছই,ওলটা
ওলটাচ্ছও,ওলটা
ওলটাচ্ছি,ওলটা
ওলটাচ্ছিই,ওলটা
ওলটাচ্ছিও,ওলটা
ওলটাচ্ছিল,ওলটা
ওলটাচ্ছিলই,ওলটা
ওলটাচ্ছিলও,ওলটা
ওলটাচ্ছিলাম,ওলটা
ওলটাচ্ছিলামই,ওলটা
ওলটাচ্ছিলামও,ওলটা
ওলটাচ্ছিলি,ওলটা
ওলটাচ্ছিলিই,ওলটা
ওলটাচ্ছিলিও,ওলটা
ওলটাচ্ছিলে,ওলটা
ওলটাচ্ছিলেই,ওলটা
ওলটাচ্ছিলেও,ওলটা
ওলটাচ্ছিলেন,ওলটা
ওলটাচ্ছিলেনই,ওলটা
ওলটাচ্ছিলেনও,ওলটা
ওলটাচ্ছিস,ওলটা
ওলটাচ্ছিসই,ওলটা
ওলটাচ্ছিসও,ওলটা
ওলটাচ্ছে,ওলটা
ওলটাচ্ছেই,ওলটা
ওলটাচ্ছেও,ওলটা
ওলটাচ্ছেন,ওলটা
ওলটাচ্ছেনই,ওলটা
ওলটাচ্ছেনও,ওলটা
ওলটাত,ওলটা
ওলটাতই,ওলটা
ওলটাতও,ওলটা
ওলটাতাম,ওলটা
ওলটাতামই,ওলটা
ওলটাতামও,ওলটা
ওলটাতি,ওলটা
ওলটাতিই,ওলটা
ওলটাতিও,ওলটা
ওলটাতে,ওলটা
ওলটাতে থাকব,ওলটা
ওলটাতে থাকবই,ওলটা
ওলটাতে থাকবও,ওলটা
